id,question,words,core_word,answer,freq
1291,打甲肝疫苗可以要孩子吗,"甲肝,疫苗,孩子",甲肝,可以正常备孕。,
1292,打甲肝疫苗多久可以怀孕,"甲肝,疫苗,多久,怀孕",甲肝,可以正常备孕。,
1293,甲肝疫苗的简写,"甲肝,疫苗,简写",甲肝,甲肝疫苗,
1294,甲肝疫苗的学名,"甲肝,疫苗,学名",甲肝,甲肝疫苗,
1295,甲肝疫苗是什么疫苗,"甲肝,疫苗,疫苗",甲肝,甲肝疫苗是用于预防甲型肝炎的疫苗，目前已被纳入我国的免疫规划。,
1296,打了甲肝疫苗有什么反应,"甲肝,疫苗",甲肝,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。必要时可与接种单位联系。,
1297,打甲肝疫苗会引起发烧吗,"甲肝,疫苗,发烧",甲肝,个别人接种后会有中低度发热，，一般不需特殊处理，可自行缓解。若持续高烧不退或有其他异常，应尽快到医院就诊。,
1298,打甲肝疫苗会引起红疹吗,"甲肝,疫苗,红疹",甲肝,接种甲肝疫苗后，偶有皮疹出现，不需特殊处理，必要时可对症治疗,
1299,打甲肝疫苗会引起心悸吗,"甲肝,疫苗,心悸",甲肝,没有证据表明甲肝疫苗会引起心悸。,
1300,打甲肝疫苗会引起癫痫吗,"甲肝,疫苗,癫痫",甲肝,没有证据表明甲肝疫苗会引起癫痫。,
1301,打甲肝疫苗会引起银肖病吗,"甲肝,疫苗,银肖病",甲肝,没有证据表明甲肝疫苗会引起银屑病。,
1302,打甲肝疫苗会引起脑炎吗,"甲肝,疫苗,脑炎",甲肝,没有证据表明甲肝疫苗会引起脑炎。,
1303,打甲肝疫苗会引起荨麻疹吗,"甲肝,疫苗,荨麻疹",甲肝,甲肝疫苗可能会引起过敏性荨麻疹，必要时可对症处理。,
1304,打甲肝疫苗会引起急性肠胃炎吗,"甲肝,疫苗,急性,肠胃炎",甲肝,没有证据表明甲肝疫苗会引起急性肠胃炎。,
1305,打甲肝疫苗引起的发烧一般多少度,"甲肝,疫苗,发烧,多少度",甲肝,接种甲肝疫苗后可能会导致发热，一般不超过38.5度，2-3天左右恢复正常，如果发热持续应该考虑是由于病原体感染引起，请及时就医。,
1306,甲肝疫苗要不要打,"甲肝,疫苗",甲肝,建议接种甲肝疫苗。甲肝疫苗是是用于预防甲型肝炎的疫苗，目前在中国已经成为儿童接种的主要疫苗之一。,
1307,甲肝疫苗能预防什么疾病,"甲肝,疫苗,预防,疾病",甲肝,甲肝疫苗可以预防甲型肝炎。,
1308,甲肝疫苗什么情况下需要补种,"甲肝,疫苗,情况,补种",甲肝,未完成免疫程序规定剂次接种的高危人群需要补种。,
1309,甲肝疫苗需要打进口的吗,"甲肝,疫苗,进口",甲肝,无论进口疫苗还是国产疫苗，有效性和安全性都是符合国家标准的。,
1310,甲肝疫苗一年接种几次,"甲肝,疫苗,一年,接种,几次",甲肝,接种2剂。儿童于18月龄和24月龄各接种1剂。成人于第0月和第6月各接种1剂。,
1311,有性生活是否还需要打甲肝疫苗,"性生活,甲肝,疫苗",甲肝,甲肝疫苗与性生活无关，有性生活可以打甲肝疫苗。,
1312,打甲肝疫苗该如何预约,"甲肝,疫苗,预约",甲肝,可在居住地所在的社区卫生服务中心接种疫苗，详情可关注“上海疾控”微信公众号进行查询。,
1313,甲肝疫苗需要多少钱,"甲肝,疫苗,钱",甲肝,甲肝疫苗属于免疫规划疫苗，可免费接种。也可选择自费的产品替代，具体的价格详见各接种门诊的公示。,
1314,打甲肝疫苗需要带什么,"甲肝,疫苗",甲肝,儿童带好接种证，成人带好身份证。,
1315,接种甲肝疫苗的免疫程序,"接种,甲肝,疫苗,免疫,程序",甲肝,接种2剂。儿童于18月龄和24月龄各接种1剂。成人于第0月和第6月各接种1剂。,
1316,打甲肝疫苗后感冒发烧需要吃药吗,"甲肝,疫苗,感冒,发烧,吃药",甲肝,请按医嘱进行治疗。,
1317,甲肝疫苗是否自费,"甲肝,疫苗,自费",甲肝,甲肝疫苗属于免疫规划疫苗，可免费接种。也可选择自费的产品替代。,
1318,孕前检查需要打甲肝疫苗吗,"孕前,检查,甲肝,疫苗",甲肝,未完成免疫程序规定剂次接种的高危人群可以补种。,
1319,接种甲肝疫苗后没反应有问题吗,"接种,甲肝,疫苗",甲肝,大部分人接种甲肝疫苗后不会发生不良反应，属于正常情况。,
1320,接种甲肝疫苗的时间,"接种,甲肝,疫苗,时间",甲肝,儿童于18月龄和24月龄各接种1剂。成人于第0月和第6月各接种1剂。,
1321,婴幼儿能否接种甲肝疫苗,"婴幼儿,接种,甲肝,疫苗",甲肝,儿童于18月龄和24月龄各接种1剂。两剂间隔≥6个月。,
1322,不打甲肝疫苗会有什么后果,"甲肝,疫苗,后果",甲肝,甲肝由甲肝病毒引起，通过饮食传播。甲肝起病急，临床表现为发热，伴恶心、呕吐、肝区疼痛等胃肠道症状，部分人出现黄疸。甲肝是我国最常见的急性传染病之一。接种甲肝疫苗是预防甲肝的有效手段。,
1323,甲肝疫苗需要接种几次,"甲肝,疫苗,接种,几次",甲肝,接种2剂。儿童于18月龄和24月龄各接种1剂。成人于第0月和第6月各接种1剂。,
1325,甲肝疫苗属于什么疫苗,"甲肝,疫苗,疫苗",甲肝,甲肝疫苗属于免疫规划疫苗。甲肝疫苗有甲肝减毒活疫苗和甲肝灭活疫苗2种。,
1327,甲肝疫苗是属于国产的么,"甲肝,疫苗,国产",甲肝,有国产也有进口的疫苗可供选择。,
1328,甲肝疫苗是属于活的还是死的疫苗呀,"甲肝,疫苗,死,疫苗",甲肝,甲肝疫苗有甲肝减毒活疫苗和甲肝灭活疫苗两种，目前上海市使用的是甲肝灭活疫苗。,
1329,甲肝疫苗是不是终生免疫,"甲肝,疫苗,终生,免疫",甲肝,根据模型估计，成人完成免疫程序后保护性抗体水平可持续25年或更长。,
1330,甲肝疫苗多久起效,"甲肝,疫苗,多久,起效",甲肝,接种甲肝疫苗2-4周后，可产生保护性抗体。,
1331,接种甲肝疫苗要不要做蛋清测试,"接种,甲肝,疫苗,做,蛋清,测试",甲肝,接种甲肝疫苗不需要做蛋清测试。,
1332,打甲肝疫苗能吃鸡蛋吗,"甲肝,疫苗,吃,鸡蛋",甲肝,接种甲肝疫苗后可以吃鸡蛋,
1333,甲肝疫苗的年龄限制,"甲肝,疫苗,年龄",甲肝,≥1岁人群可以接种甲肝疫苗，应注意不同疫苗产品说明书中的年龄上限。,
1334,甲肝疫苗是自费还是免费,"甲肝,疫苗,自费,免费",甲肝,甲肝疫苗属于免疫规划疫苗，可免费接种。也可选择自费的产品替代。,
1335,哪种甲肝疫苗比较好,"甲肝,疫苗",甲肝,不同疫苗产品的有效性和安全性都是符合国家标准的。,
1336,甲肝疫苗的常识,"甲肝,疫苗,常识",甲肝,甲型病毒性肝炎由甲肝病毒引起，通过饮食传播。甲肝起病急，临床表现为发热，伴恶心、呕吐、肝区疼痛等胃肠道症状，部分人出现黄疸。甲肝是我国最常见的急性传染病之一。接种甲肝疫苗是预防甲肝的有效手段。,
1337,甲肝疫苗打几价比较好,"甲肝,疫苗,打几价",甲肝,甲肝疫苗没有几价之说。,
1338,甲肝疫苗不能空腹注射是吗,"甲肝,疫苗,空腹,注射",甲肝,没有是否需要空腹的限制。,
1339,打完甲肝疫苗后哪些药能吃哪些药不能吃,"完,甲肝,疫苗,药能,吃,药,吃",甲肝,请按医嘱进行治疗。,
1340,打完甲肝疫苗之后哪些食物能吃哪些不能,"完,甲肝,疫苗,食物,吃",甲肝,可以正常饮食。,
1341,疾病患者是否能接种甲肝疫苗,"疾病,患者,接种,甲肝,疫苗",甲肝,患急性或慢性严重疾病者暂缓接种。,
1342,接种甲肝疫苗和季节有关系吗,"接种,甲肝,疫苗,季节,关系",甲肝,接种甲肝疫苗和季节没有关系。,
1343,天气热不能打甲肝疫苗吗,"天气,热,甲肝,疫苗",甲肝,天气热可以打甲肝疫苗。,
1344,两个月宝宝打甲肝疫苗会引起肚子痛吗,"两个,月,宝宝,甲肝,疫苗,肚子痛",甲肝,接种甲肝疫苗后一般不会引起腹痛，如症状严重请及时就医。,
1345,打了百白破之后还会感染吗,"百白破,还会,感染",百白破,理论上，接种百白破疫苗后，感染相应疾病的风险就很低。少数人接种后未产生保护力，或者仍然发病，与疫苗本身特性和受种者个人体质有关。,
1346,打了百白破之后还会得病吗,"百白破,还会,得病",百白破,理论上，接种白破疫苗后，感染相应疾病的风险就很低。少数人接种后未产生保护力，或者仍然发病，与疫苗本身特性和受种者个人体质有关。,
1347,不打百白破之后会得水痘吗,"百白破,会得,水痘",百白破,吸附无细胞百白破联合疫苗可以预防百日咳、白喉、破伤风。不能预防水痘。,
1348,打了百白破之后会得湿疹吗,"百白破,会得,湿疹",百白破,吸附无细胞百白破联合疫苗可以预防百日咳、白喉、破伤风。不能预防湿疹。,
1349,百白破的免疫程序是什么,"百白破,免疫,程序",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
1350,接种百白破有哪些不良反应,"接种,百白破,不良反应",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1351,什么情况下不能打百白破,"情况,百白破",百白破,癫痫、神经系统疾患及惊厥史者；患急性或慢性严重疾病者；发热者暂缓接种。详见疫苗说明书。,
1352,打百白破该间隔多久,"百白破,间隔,多久",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
1353,打百白破间隔最长是多久,"百白破,间隔,最长,多久",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
1354,给孩子打百白破什么时候打适合,"孩子,百白破,适合",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
1355,百白破适合多大的时候打,"百白破,适合,多大",百白破,主要为3月龄～6岁儿童。,
1356,接种百白破该注意什么,"接种,百白破",百白破,"建议交替更换接种部位。接种后应在接种单位的留观区域留观30分钟。到目前为止，任何疫苗的保护效果都不能达到100%。少数人接种后未产生保护力，或者仍然发病，与疫苗本身特性和受种者个人体质有关。如需了解更多信息，请查看疫苗说明书。若本问答的内容与说明书发生冲突的，以说明书为准。",
1357,接种百白破的不良反应,"接种,百白破,不良反应",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1358,百白破不同价之间的区别该怎么选择,"百白破,价,之间,区别,选择",百白破,百白破不区分几价,
1359,接种百白破的作用,"接种,百白破,作用",百白破,吸附无细胞百白破联合疫苗可以预防百日咳、白喉、破伤风。,
1360,接种百白破的反应是什么,"接种,百白破",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1361,接种百白破会有反应吗,"接种,百白破",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1362,为什么出生要打百白破,"出生,百白破",百白破,吸附无细胞百白破联合疫苗可以预防百日咳、白喉、破伤风。,
1363,百白破从出生开始打几次,"百白破,出生,几次",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
1364,百白破是不是刚出生的时候打过了,"百白破,刚出生,打过",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
1365,百白破的接种对象,"百白破,接种,对象",百白破,主要为3月龄～6岁儿童。,
1366,打百白破后可以吃药物吗,"百白破,吃,药物",百白破,请遵医嘱。,
1367,打百白破后可以吃食物吗,"百白破,吃,食物",百白破,半个钟就可以，很少有不适应的小朋友,
1368,打百白破的时间,"百白破,时间",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
1369,打百白破可以喂奶吗,"百白破,喂奶",百白破,如果没有不舒服的话可以,
1370,打百白破的地点,"百白破,地点","哪里,地点,百白破,接种点",可在居住地所在的社区卫生服务中心和部分特需接种门诊进行接种。详细信息可关注“上海疾控”微信公众号进行查询。,
1371,接种百白破能中断吗,"接种,百白破,中断",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
1372,接种百白破的过敏情况,"接种,百白破,过敏,情况",百白破,少数人可能出现过敏性皮疹等症状,
1373,百白破可以报销吗,"百白破,报销",百白破,属于国家免疫规划疫苗，是免费的,
1374,打了百白破可以洗澡吗如果洗了有什么影响,"百白破,洗澡,洗,影响",百白破,可以洗澡，请避免着凉和保持接种部位干净干燥。,
1375,接种了百白破红肿可以洗澡吗,"接种,百白破,红肿,洗澡",百白破,可以洗澡，请避免着凉和保持接种部位干净干燥。,
1376,打了百白破后怎么洗澡,"百白破,洗澡",百白破,可以洗澡，请避免着凉和保持接种部位干净干燥。,
1377,接种了百白破后有脓可以洗澡吗,"接种,百白破,脓,洗澡",百白破,可以洗澡，请避免着凉和保持接种部位干净干燥。,
1378,打百白破前可以洗澡吗,"百白破,前,洗澡",百白破,可以洗澡，请避免着凉和保持接种部位干净干燥。,
1379,打百白破会拉肚子吗,"百白破,拉肚子",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1380,宝宝打了百白破会哭闹吗,"宝宝,百白破,哭闹",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1381,打百白破之后会不会过敏,"百白破,会不会,过敏",百白破,少数人可能出现过敏性皮疹等症状,
1382,打百白破之后过敏有什么症状,"百白破,过敏,症状",百白破,少数人可能出现过敏性皮疹等症状,
1383,百白破是什么疫苗,"百白破,疫苗",百白破,灭活疫苗,
1384,打了百白破有什么反应,百白破,百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1385,打百白破会引起发烧吗,"百白破,发烧",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1386,打百白破会引起红疹吗,"百白破,红疹",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1387,打百白破会引起心悸吗,"百白破,心悸",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1388,打百白破会引起癫痫吗,"百白破,癫痫",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1389,打百白破会引起银肖病吗,"百白破,银肖病",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1390,打百白破会引起脑炎吗,"百白破,脑炎",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1391,打百白破会引起荨麻疹吗,"百白破,荨麻疹",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1392,打百白破会引起急性肠胃炎吗,"百白破,急性,肠胃炎",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1393,打百白破引起的发烧一般多少度,"百白破,发烧,多少度",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1394,百白破能预防什么疾病,"百白破,预防,疾病",百白破,百白破疫苗可以预防百日咳、白喉、破伤风。,
1395,百白破一年接种几次,"百白破,一年,接种,几次",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
1396,打百白破该如何预约,"百白破,预约",百白破,前往辖区内社区卫生服务中心进行预约接种,
1397,打百白破需要带什么,百白破,百白破,一般携带身份证、接种证即可。,
1398,打百白破后感冒发烧需要吃药吗,"百白破,感冒,发烧,吃药",百白破,请遵医嘱,
1399,接种百白破的时间,"接种,百白破,时间",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
1400,百白破需要接种几次,"百白破,接种,几次",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
1401,百白破属于什么疫苗,"百白破,疫苗",百白破,灭活疫苗,
1402,百白破是属于国产的么,"百白破,国产",百白破,国产,
1403,百白破是属于活的还是死的疫苗呀,"百白破,死,疫苗",百白破,灭活疫苗,
1404,打百白破能吃鸡蛋吗,"百白破,吃,鸡蛋",百白破,鸡蛋和鸡肉以及牛奶等常见的食物都是可以吃的。,
1405,打完百白破后哪些药能吃哪些药不能吃,"完,百白破,药能,吃,药,吃",百白破,请遵医嘱。,
1406,打完百白破之后哪些食物能吃哪些不能,"完,百白破,食物,吃",百白破,不要吃辛辣刺激的就可以的，不影响饮食的，最好饮食尽可能广泛多样化。多吃水果蔬菜，饮食要清淡，多喝点温开水，注意休息。,
1407,疾病患者是否能接种百白破,"疾病,患者,接种,百白破",百白破,请遵医嘱。,
1408,两个月宝宝打百白破会引起肚子痛吗,"两个,月,宝宝,百白破,肚子痛",百白破,个别人可有注射局部疼痛、红肿、硬结或中低度发热，一般不需特殊处理，可自行缓解。局部硬结通过热敷、理疗等处理可逐步吸收。必要时应及时与接种单位联系，由后者给予处置指导。,
1409,打了脊灰疫苗之后还会感染吗,"脊灰,疫苗,还会,感染",脊灰,按时接种脊灰疫苗可有效预防脊髓灰质炎。,
1410,打了脊灰疫苗之后还会传染吗,"脊灰,疫苗,还会,传染",脊灰,按时接种脊灰疫苗可有效预防脊髓灰质炎。,
1411,打了脊灰疫苗之后还会得病吗,"脊灰,疫苗,还会,得病",脊灰,理论上，接种脊灰疫苗后，感染相应疾病的风险就很低。少数人接种后未产生保护力，或者仍然发病，与疫苗本身特性和受种者个人体质有关。,
1412,不打脊灰疫苗之后会得水痘吗,"脊灰,疫苗,会得,水痘",脊灰,接种脊灰疫苗不能预防水痘。,
1413,打了脊灰疫苗之后会得湿疹吗,"脊灰,疫苗,会得,湿疹",脊灰,接种脊灰疫苗不能预防湿疹。,
1414,打脊灰疫苗后得水痘验血能验出来吗,"脊灰,疫苗,水痘,验血,能验",脊灰,接种脊灰疫苗不能预防水痘。水痘需在医疗机构进行诊断。,
1415,刚出水痘可以接种脊灰疫苗吗,"刚出,水痘,接种,脊灰,疫苗",水痘,建议康复后再接种疫苗。,
1416,被动物伤了能不能打脊灰疫苗,"动物,伤,脊灰,疫苗",脊灰,是可以接种疫苗的,
1417,脊灰疫苗的免疫程序是什么,"脊灰,疫苗,免疫,程序",脊灰,目前的脊灰疫苗免疫程序为2月龄和3月龄各接种1剂脊灰灭活疫苗（IPV），4月龄和4岁各接种1剂脊灰减毒活疫苗（OPV）。,
1418,孕期被动物伤了能不能打脊灰疫苗,"孕期,动物,伤,脊灰,疫苗",脊灰,无需接种脊灰疫苗。,
1419,接种脊灰疫苗有哪些不良反应,"接种,脊灰,疫苗,不良反应",脊灰,大多数人没有反应，个别人在接种脊灰灭活疫苗后可能出现发热、接种部位红肿、硬结等反应，在接种口服脊灰减毒活疫苗后可能出现发热、恶心、呕吐、腹泻等反应。一般不需特殊处理，必要时可对症治疗。接种脊髓灰质炎减毒活疫苗可能引起疫苗相关病例(VAPP)，目前国内尚无确切的统计数据。据世界卫生组织官方统计报告，VAPP发病率为百万分之2.9到4.7。,
1420,什么情况下不能打脊灰疫苗,"情况,脊灰,疫苗",脊灰,"脊灰灭活疫苗的禁忌为对疫苗成分过敏或以前接种该疫苗过敏者；发热、急性疾病期患者；严重慢性疾病、过敏体质者。口服脊灰减毒活疫苗的禁忌为对疫苗成分过敏者；患急性疾病、严重慢性疾病、慢性疾病的急性发作期、发热者；免疫缺陷、免疫功能低下或正在接受免疫抑制剂治疗者；妊娠期妇女；患未控制的癫痫和其他进行性神经系统疾病者。",
1421,打脊灰疫苗该间隔多久,"脊灰,疫苗,间隔,多久",脊灰,目前的脊灰疫苗免疫程序为2月龄和3月龄各接种1剂脊灰灭活疫苗（IPV），4月龄和4岁各接种1剂脊灰减毒活疫苗（OPV）。,
1422,打脊灰疫苗间隔最长是多久,"脊灰,疫苗,间隔,最长,多久",脊灰,目前的脊灰疫苗免疫程序为2月龄和3月龄各接种1剂脊灰灭活疫苗（IPV），4月龄和4岁各接种1剂脊灰减毒活疫苗（OPV）。,
1423,给孩子打脊灰疫苗什么时候打适合,"孩子,脊灰,疫苗,适合",脊灰,目前的脊灰疫苗免疫程序为2月龄和3月龄各接种1剂脊灰灭活疫苗（IPV），4月龄和4岁各接种1剂脊灰减毒活疫苗（OPV）。,
1424,脊灰疫苗适合多大的时候打,"脊灰,疫苗,适合,多大",脊灰,≥2月龄,
1425,接种脊灰疫苗该注意什么,"接种,脊灰,疫苗",脊灰,接种疫苗之前，应如实向预防接种医生告知儿童身体健康状况。若有感冒、发热等症状，待恢复健康后进行补种。,
1426,接种脊灰疫苗的不良反应,"接种,脊灰,疫苗,不良反应",脊灰,大多数人没有反应，个别人在接种脊灰灭活疫苗后可能出现发热、接种部位红肿、硬结等反应，在接种口服脊灰减毒活疫苗后可能出现发热、恶心、呕吐、腹泻等反应。一般不需特殊处理，必要时可对症治疗。接种脊髓灰质炎减毒活疫苗可能引起疫苗相关病例(VAPP)，目前国内尚无确切的统计数据。据世界卫生组织官方统计报告，VAPP发病率为百万分之2.9到4.7。,
1427,脊灰疫苗不同价之间的区别该怎么选择,"脊灰,疫苗,价,之间,区别,选择",脊灰,脊灰疫苗有两种，一种是口服的脊髓灰质炎减毒活疫苗，Ⅰ型和Ⅲ型疫苗株成分，另一种是注射的灭活脊髓灰质炎疫苗。序贯接种既可以保证疫苗效果，又可以提高安全性。,
1428,接种脊灰疫苗的作用,"接种,脊灰,疫苗,作用",脊灰,按时接种脊灰疫苗可有效预防脊髓灰质炎。,
1429,接种脊灰疫苗的反应是什么,"接种,脊灰,疫苗",脊灰,大多数人没有反应，个别人在接种脊灰灭活疫苗后可能出现发热、接种部位红肿、硬结等反应，在接种口服脊灰减毒活疫苗后可能出现发热、恶心、呕吐、腹泻等反应。一般不需特殊处理，必要时可对症治疗。接种脊髓灰质炎减毒活疫苗可能引起疫苗相关病例(VAPP)，目前国内尚无确切的统计数据。据世界卫生组织官方统计报告，VAPP发病率为百万分之2.9到4.7。,
1430,接种脊灰疫苗会有反应吗,"接种,脊灰,疫苗",脊灰,大多数人没有反应，个别人在接种脊灰灭活疫苗后可能出现发热、接种部位红肿、硬结等反应，在接种口服脊灰减毒活疫苗后可能出现发热、恶心、呕吐、腹泻等反应。一般不需特殊处理，必要时可对症治疗。接种脊髓灰质炎减毒活疫苗可能引起疫苗相关病例(VAPP)，目前国内尚无确切的统计数据。据世界卫生组织官方统计报告，VAPP发病率为百万分之2.9到4.7。,
1431,为什么出生要打脊灰疫苗,"出生,脊灰,疫苗",脊灰,按时接种脊灰疫苗可有效预防脊髓灰质炎。,
1432,脊灰疫苗从出生开始打几次,"脊灰,疫苗,出生,几次",脊灰,目前的脊灰疫苗免疫程序为2月龄和3月龄各接种1剂脊灰灭活疫苗（IPV），4月龄和4岁各接种1剂脊灰减毒活疫苗（OPV）。,
1433,脊灰疫苗是不是刚出生的时候打过了,"脊灰,疫苗,刚出生,打过",脊灰,目前的脊灰疫苗免疫程序为2月龄和3月龄各接种1剂脊灰灭活疫苗（IPV），4月龄和4岁各接种1剂脊灰减毒活疫苗（OPV）。,
1434,脊灰疫苗的接种对象,"脊灰,疫苗,接种,对象",脊灰,主要为≥2月龄儿童。,
1435,打脊灰疫苗后可以吃药物吗,"脊灰,疫苗,吃,药物",脊灰,如患有疾病需吃药，请按医嘱进行治疗。,
1436,打脊灰疫苗后可以吃食物吗,"脊灰,疫苗,吃,食物",脊灰,可以正常饮食。,
1437,打脊灰疫苗的时间,"脊灰,疫苗,时间",脊灰,目前的脊灰疫苗免疫程序为2月龄和3月龄各接种1剂脊灰灭活疫苗（IPV），4月龄和4岁各接种1剂脊灰减毒活疫苗（OPV）。,
1438,打脊灰疫苗后可以喝酒吗,"脊灰,疫苗,喝酒",脊灰,请不要酗酒。,
1439,打脊灰疫苗可以喂奶吗,"脊灰,疫苗,喂奶",脊灰,接种脊灰灭活疫苗后可以喂奶，接种口服脊灰减毒活疫苗后建议半小时以后再喂奶。,
1440,打脊灰疫苗的地点,"脊灰,疫苗,地点","脊灰,哪里,地点,接种点",可在居住地所在的社区卫生服务中心和部分特需接种门诊进行接种。详细信息可关注“上海疾控”微信公众号进行查询。,
1441,接种脊灰疫苗能中断吗,"接种,脊灰,疫苗,中断",脊灰,若某一剂次中断，后续剂次可按规定的时间间隔进行补种。,
1442,接种脊灰疫苗的过敏情况,"接种,脊灰,疫苗,过敏,情况",脊灰,少数人可能出现过敏性皮疹等症状,
1443,脊灰疫苗可以报销吗,"脊灰,疫苗,报销",脊灰,脊灰疫苗是免费的,
1444,打了脊灰疫苗可以洗澡吗如果洗了有什么影响,"脊灰,疫苗,洗澡,洗,影响",脊灰,可以洗澡，请避免着凉和保持接种部位干净干燥。,
1445,接种了脊灰疫苗红肿可以洗澡吗,"接种,脊灰,疫苗,红肿,洗澡",脊灰,可以洗澡，请避免着凉和保持接种部位干净干燥。,
1446,打了脊灰疫苗后怎么洗澡,"脊灰,疫苗,洗澡",脊灰,可以洗澡，请避免着凉和保持接种部位干净干燥。,
1447,接种了脊灰疫苗后有脓可以洗澡吗,"接种,脊灰,疫苗,脓,洗澡",脊灰,可以洗澡，请避免着凉和保持接种部位干净干燥。,
1448,打脊灰疫苗前可以洗澡吗,"脊灰,疫苗,前,洗澡",脊灰,可以洗澡，请避免着凉和保持接种部位干净干燥。,
1449,打脊灰疫苗会拉肚子吗,"脊灰,疫苗,拉肚子",脊灰,接种疫苗后，可能会产生腹泻等不良反应，可注意观察，若症状严重，请及时就医。,
1450,宝宝打了脊灰疫苗会哭闹吗,"宝宝,脊灰,疫苗,哭闹",脊灰,一般孩子打了疫苗都容易苦哭闹属于正常的，注意观察，只要孩子没有发烧症状那就没事。,
1451,打脊灰疫苗之后会不会过敏,"脊灰,疫苗,会不会,过敏",脊灰,少数人可能出现过敏性皮疹等症状,
